stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
PERUMAHAN BARANANGSIANG INDAH,,PERUMAHAN BARANANGSIANG INDAH,,-6.611079400,106.821087500,,,,,,2
Cucurak arung Sunda,, Cucurak arung Sunda,,-6.598130000,106.817730000,,,,,,2
Indomaret Padi Ciheuleut,,Indomaret Padi Ciheuleut,,-6.600130000,106.814190000,,,,,,2
Angkit01 (Angkringan Kita),, Angkit01 (Angkringan Kita),,-6.585642100,106.812341600,,,,,,2
Jl. Sholeh Iskandar,,Jl. Sholeh Iskandar,,-6.564100000,106.810330000	,,,,,,2
Roda Jaya Ban,,Roda Jaya Ban,,-6.566940300,106.809599900,,,,,,2
Alfamart Kedung Badak,,Alfamart Kedung Badak,,-6.561760000,106.807160000,,,,,,2
Ciparigi,, Ciparigi,,-6.561670000,106.803060000,,,,,,2
Perum Griya Indah Bogor,, Perum Griya Indah Bogor,,-6.560910000,106.805110000,,,,,,2
Warung Jambu,,Warung Jambu,,-6.563090000,106.809460000,,,,,,2
Jl. Kaum Sari,, Jl. Kaum Sari,,-6.560120000,106.813400000,,,,,,2
Polresta Bogor,,Polresta Bogor,,-6.556950000,106.815350000,,,,,,2
Taman Bogor,, Taman Bogor,,-6.554360000,106.819410000	,,,,,,2
Polsek Sukaraja,,Polsek Sukaraja,,-6.551590000,106.821280000,,,,,,2
Pomad,,Pomad,,-6.548360000,106.823240000,,,,,,2
MII (MI. Ianatusshibyan) Tanah Sareal,, MII (MI. Ianatusshibyan) Tanah Sareal,,-6.528713000,106.777227200,,,,,,2
Villa Mutiara Bogor 1,, Villa Mutiara Bogor 1,,-6.517355700,106.776303100,,,,,,2
Perumahan Vila Citra Bantarjati,,Perumahan Vila Citra Bantarjati,,-6.574870000,106.817720000,,,,,,2
Terminal Bubulak,,Terminal Bubulak,,-6.570190000,106.754950000,,,,,,2
Jl. HM. Syarifudin,,Jl. HM. Syarifudin,,-6.569320000,106.757410000,,,,,,2
McDonalds Semplak,,McDonalds Semplak,,-6.564280000,106.762860000,,,,,,2
Taman Yasmin,,Taman Yasmin,,-6.561710000,106.765510000,,,,,,2
Ruko Taman Yasmin,,Ruko Taman Yasmin,,-6.560230000,106.767370000,,,,,,2
Giant Yasmin,,Giant Yasmin,,-6.557530000,106.771060000,,,,,,2
Pengadilan Agama Kota Bogor,, Pengadilan Agama Kota Bogor,,-6.556760000,106.775310000,,,,,,2
Lotteria Pondok Yasmin,,Lotteria Pondok Yasmin,,-6.556260000,106.777930000,,,,,,2
Lotteria Taman Yasmin,,Lotteria Taman Yasmin,,-6.556260000,106.778720000,,,,,,2
Lampu Merah Semplak,, Lampu Merah Semplak,, -6.563940000,106.763560000,,,,,,2
Pasar Maar,,Pasar Maar,,-6.589450000,106.787380000,,,,,,2
Jl. Ciaringin II,, Jl. Ciaringin II,,-6.586950000,106.787670000,,,,,,2
Dinas Sosial Bogor,, Dinas Sosial Bogor,, -6.585710000,106.787750000	,,,,,,2
Masjid Martadinata,, Masjid Martadinata,,-6.582724500,106.787916700,,,,,,2
Kantor Lurah Ciaringin,, Kantor Lurah Ciaringin,,-6.58282000,106.788910000,,,,,,2
Jembatan RE. Martadinata,, Jembatan RE. Martadinata,,-6.583109500,106.791826400,,,,,,2
Samudra Auto Center,,Samudra Auto Center,,-6.581640000,106.794270000,,,,,,2
Air Mancur Fountain Park,, Air Mancur Fountain Park,,-6.581530000,106.796750000,,,,,,2
GOR Padjajaran,,GOR Padjajaran,,-6.577260000,106.796550000,,,,,,2
Jl. Ps. Hean,, Jl. Ps. Hean,,-6.573480000,106.796480000,,,,,,2
SMPN 12,, SMPN 12,,-6.570330000,106.798540000,,,,,,2
Gereja Dari Orang,, Gereja Dari Orang,,-6.567920000,106.801020000,,,,,,2
Jl. A. Yani,, Jl. A. Yani,,-6.568760000,106.805340000,,,,,,2
Plaza Jambu Dua,,Plaza Jambu Dua,,-6.568660000,106.808280000,,,,,,2
